SYM Got word that Portugal going to lockdown on Tuesday other countries following same means SYM usage should soar as more people have to communicate from homes I see 52 week high by EOY,Bullish
SYM SYM FUBO TV and ZOOM The top 2 Covid home stocks,Bullish
SYM Its foolish buying puts especialoybon covid stocks at this point whole market may go down but this will run Business people stop travelling from now as they are used to having conference meetings using zoom and others Does amazon go back to 2000 range It does not people are more used to this king of new living and this will continue for few more years Zoom will continue making profits for few more years And as it has huge cash it will step into different businesses or acquire some other companies to succeed even after 5yrs,Bullish
SYM Biden Leads Trump by 10 points does not matter who wins as this is going to go high from here onwards as more lockdowns more cases in peak winter Fauci giving statements of no vaccibe till end of 2021 big companies saying no return to work till end 2021 we are safe for an year from now and will see 700 before it falls back,Bullish
SYM Looks like Bears are worried as the lockdoen news in UK and other countries make them scared of zoom going up again,Bullish
SYM when this bubble pops it s going to be bloody Evaluation is unreal at these levels,Bearish
SYM 700 eoy,Bullish
SYM any number below 460 is a gift,Bullish
SYM I m thinking Monday and Tuesday market would be down and Wednesday would be up Agree,Bearish
SYM ok so a whole nation shuts down zm makes a million more dollars go ahead value it 10 billion extra this stock going to 100 by end of month,Bearish
SYM Very,Bearish
SYM Next supports are 0 786 fan line or 414 61 80,Bearish
SYM SYM lf you really want to make a huge profit on stock trading Then this community is for you experienced topstocksgainer net,Bullish
SYM following up my last post Corsairs most recent acquisition of EpocCam the top webcam app for iOS which allows you to use your phone as an HD webcam for software like Zoom Microsoft Teams OBS Studio and others which I expect to fair well in the coronavirus work from home environment SYM SYM SYM,Bullish
SYM offering a low risk entry here at multi week horizontal support,Bullish
SYM what happens to my friday puts,Bearish
SYM All stay at home stocks going to boom on Monday good luck who bought calls,Bullish
SYM bulls are funny thinking everytime there is spike somehow ZM will magically make new users Everyone that is using ZM already has it Also MSFT has said they are aggressively moving into the education sector the users ZM controls right now,Bearish
SYM SYM SYM SYM MORE BAD NEWS,Bearish
SYM SYM Bull Case Target SYM 494 amp SYM 503 SYM 524 Last Pump Bull Case Target SYM 494 amp SYM 503 SYM 524 Last Pump,Bullish
SYM had never been red for 2 consecutive weeks this year Nasty dark cloud cover pattern on the weekly that got confirmed by the 2nd red candle The trend is clearly broken,Bearish
SYM SYM Bull Case Target SYM 474 amp SYM 503 SYM 524 Last Pump Bull Case Target SYM 474 amp SYM 503 SYM 524 Last Pump,Bullish
SYM it has been too long since Tree Fiddy,Bearish
SYM polls say Biden has majority if he wins he is doing a second lockdown,Bullish
SYM OMG 101k cases in USA yesterday I should gave bought some of the Covid sticks PTON etc,Bullish
SYM Second wave started in all countries and countries are shutting down I think USA will plan one sooner as the virus is growing so drastically and imagine how it s going to be in peak winter,Bullish
SYM I told you when it goes up people say it goes more up people bought even at 540 and say it goes up it did opposite fell down to 460 now they say it goes more down and buy puts and it starts going up to 500 and then 540 UK lockdown news released just now and see how it goes up on Monday,Bullish
SYM As many of them think market drops and buy puts then it will be very simple to make money buying puts everyone can get rich but that s what stock market is if it goes according to everyone s assumptions eveyone will be Rich it dropped enough and now everyone thinks possible of rally after electiond does not matter who wins but stimulus and other benefits add,Bullish
SYM My guess is Monday and Tuesday will be Green because market does opposite to everyone s thoughts and moreover there is a hope that if any if them win elections they are going to give stimulus after elections So possibility of rally,Bullish
SYM Short and puts SYM SYM SYM SYM SYM silly profits Game over for story momos another 50 to go,Bearish
SYM Its only starting,Bearish
SYM I m putting all my money on shorting this to 100 guaranteed money,Bearish
SYM SYM SYM SYM Have a nice weekend we ll see the all grean days straight hopefully next week Anyway See you then,Bullish
SYM Short take cover,Bullish
SYM Monday is a reversal back to 500 it went to 50day low it went in the same way in Sep after going to all time high then dropped and went back to 500 in 2 days And the news of lockdowns in various countries and in few states in USA make this run crazily,Bullish
SYM SYM SYM SYM SFT Cheap to buy it now,Bullish
